CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S4748,KINGS' VISION SECONDARY SCHOOL,DAR ES SALAAM,,,,39.26951,-6.82349,68.97,,1.2619,1.2619,1063,2014,NO,,,,
S4749,MBWARA SECONDARY SCHOOL,PWANI,RUFIJI,MBWARA,GOVERNMENT,38.915222,-8.236809,52.63,,0.9947,-4.5365,1668,2014,NO,,,,
S4750,KIKALE SECONDARY SCHOOL,PWANI,RUFIJI,KIKALE,GOVERNMENT,38.62753759,-7.937078924,87.5,,1.1733,-4.5604,1261,2014,NO,,,,
S4751,NARWI SECONDARY SCHOOL,RUVUMA,NAMTUMBO,RWINGA,GOVERNMENT,35.95723383,-10.46159192,85.71,,1.4801,-3.929,597,2014,NO,,,,
S4752,CHANYANGABWA SECONDARY SCHOOL,KAGERA,KARAGWE,SONGAMBELE,GOVERNMENT,30.83616913,-1.564588729,58.82,,1.1117,-3.9812,1407,2014,NO,,,,
S4753,KITWECHENKURA SECONDARY SCHOOL,KAGERA,KARAGWE,RUKURAIJO,GOVERNMENT,30.81959264,-1.467420236,66.67,,1.2809,-3.2693,1020,2014,NO,,,,
S4754,NGORONGO SECONDARY SCHOOL,PWANI,RUFIJI,KIPUGIRA,GOVERNMENT,38.62753759,-7.937078924,62.5,,1.0229,-4.7505,1611,2014,NO,,,,
S4756,NYAMISATI SECONDARY SCHOOL,PWANI,RUFIJI,SALALE,GOVERNMENT,39.336435,-7.807668,77.78,,1.317,-4.3929,927,2014,NO,,,,
S4757,RUKURAIJO SECONDARY SCHOOL,KAGERA,KARAGWE,RUKURAIJO,GOVERNMENT,30.85519001,-1.461433576,51.72,,1.0204,-4.0347,1614,2014,NO,,,,
S4760,MSISI JUU SECONDARY SCHOOL,DODOMA,BAHI,MSISI,GOVERNMENT,35.6382623,-5.8454907,63.64,,1.2468,-4.1609,1098,2014,NO,,,,
S4761,RIFT VALLEY BABATI SECONDARY SCHOOL,MANYARA,,,,36.66667,-4.75,91.67,,1.9762,1.9762,159,2014,NO,,,,
S4764,KABWOBA SECONDARY SCHOOL,KAGERA,,,,31.45,-1.9,97.06,,2.14,2.14,129,2014,NO,,,,
S4765,MAMNDIMKONGO SECONDARY SCHOOL,PWANI,MKURANGA,BUPU,GOVERNMENT,39.052154,-7.216472,100,,2.5,-3.088,84,2014,NO,,,,
S4768,KISIJU PWANI SECONDARY SCHOOL,PWANI,MKURANGA,KISIJU,GOVERNMENT,39.304491,-7.322263,100,,1.1786,-4.2709,1244,2014,NO,,,,
S4769,ST. CECILIA SECONDARY SCHOOL,KAGERA,BUKOBA RURAL,KAAGYA,NON GOVERNMENT,31.838579,-1.17144,94.74,,1.7061,-3.061,292,2014,NO,,,,
S4770,DUNDANI SECONDARY SCHOOL,PWANI,MKURANGA,MKURANGA,GOVERNMENT,39.201205,-7.097389,76.92,,1.4554,-4.1764,637,2014,NO,,,,
S4772,LWANDE SECONDARY SCHOOL,TANGA,KILINDI,LWANDE,GOVERNMENT,37.41125596,-5.6858093,100,,1.412,-4.2617,707,2014,NO,,,,
S4773,MASAGALU SECONDARY SCHOOL,TANGA,KILINDI,MASAGALU,GOVERNMENT,37.29545986,-5.690371039,0,,0.5154,-4.7166,2083,2014,NO,,,,
S4774,BERNARD MEMBE SECONDARY SCHOOL,TANGA,LUSHOTO,KILOLE,GOVERNMENT,38.36781905,-4.684156983,28.57,,0.8551,-3.6102,1921,2014,NO,,,,
S4775,PRINCE CLAUS SECONDARY SCHOOL,TANGA,LUSHOTO,LUSHOTO,GOVERNMENT,38.26052211,-4.800454882,81.82,,1.6313,-3.9024,369,2014,NO,,,,
S4776,LUNGUZA SECONDARY SCHOOL,TANGA,LUSHOTO,LUNGUZA,GOVERNMENT,38.3881455,-4.510153148,40,,0.9015,-4.1789,1853,2014,NO,,,,
S4777,NDURUMO SECONDARY SCHOOL,TANGA,LUSHOTO,RANGWI,GOVERNMENT,38.27578302,-4.551200152,76.19,,1.2245,-3.9519,1141,2014,NO,,,,
S4779,ILINDI SECONDARY SCHOOL ,DODOMA,BAHI,ILINDI,GOVERNMENT,35.5429968,-5.9376073,33.33,,0.9444,-4.2223,1785,2014,NO,,,,
S4780,HAWA MCHOPA SECONDARY SCHOOL,LINDI,RUANGWA,,NON GOVERNMENT,39.05406921,-10.36752583,90,,1.5939,-4.1112,418,2014,NO,,,,
S4783,MAGAGA SECONDARY SCHOOL ,DODOMA,BAHI,CHIFUTUKA,GOVERNMENT,35.47130255,-6.132613238,81.82,,1.7305,-3.5409,275,2014,NO,,,,
